,title,company,rating,search_city,location,salary,age,summary
33,Conversational Analyst – Artificial Intelligence (AI) - Lond...,MediaAndLanguageJobs.co.uk,,London,London,"£22,000 a year",30+ days ago,Conversational Analyst – Artificial Intelligence (AI) - London*.No prior experience working with artificial intelligence is necessary - all relevant training…
34,Invention Developer,Iprova,,London,London N1,,Just posted,Do you have a background in engineering or science?What you will be doing.What interests us in a candidate.Some of the other great benefits include.
35,Graduate Consultant (2020 start date),Altius Consulting,,London,London,,30+ days ago,They use a variety of statistical techniques including the use of Artificial Intelligence & Machine Learning.What will be your challenge?
36,Business Intelligence and Analytics Graduate,PA Consulting Group,3.9,London,London,,30+ days ago,"Become part of the team.Data analytics is a fast-growing field, responding to the increased volume and availability of data created by new digital technology."
37,Internal Consultant – Digital Practice,UBS,3.9,London,London,,30+ days ago,"Knowledge and hands on working experience in one or more of the following areas: Artificial Intelligence, Advanced Analytics, Cognitive Automation, Blockchain."
38,Managing Director - Fastmarkets Metals,Euromoney Institutional Investor PLC,4.0,London,London EC4Y,,Just posted,The competitive position of the analytics business is expected to be improved by the application of artificial intelligence and data-driven algorithms to our…
39,Sponsorship Executive / Business Development Executive,Global Market Summits – Chancery Lane,,London,,"£25,000 - £35,000 a year",1 day ago,"As a Business Development Executive, you will be responsible for securing new commercial partnerships revenue, grow the clients across both new and established…"
40,Sales Executive - Full Time,Kisaco Research,,London,,"£20,000 - £35,000 a year",30+ days ago,"You will work on events in various industries (such as Beauty, Personal Care, Pharmaceuticals, Health, Technology, Artificial Intelligence) and geographies …"
41,Sponsorship Executive / Business Development Executive,Global Market Summits – Chancery Lane,,London,,"£25,000 - £35,000 a year",1 day ago,"As a Business Development Executive, you will be responsible for securing new commercial partnerships revenue, grow the clients across both new and established…"
42,Advanced Delivery Graduate Programme 2020,Allen & Overy,4.3,London,London,,Just posted,"The Advanced Delivery programme is split between the Markets Innovation Group, Legal Project Management Office, our Legal Tech team, eDiscovery and A&O…"
43,CIB AI Research - Research Scientist,JP Morgan Chase,3.9,London,London E14,,9 days ago,The team is headquartered in New York and present in key hubs around the world.It maintains partnerships with leading academic and research institutions around…
44,Social Media Intern,Echobox,,London,London,,30+ days ago,Taking charge of our social media channels.Working with our product manager and developers to collect and implement customer feedback.
45,Online Contest Manager,Surgecode Software Ltd,,London,London,"£1,200 a month",23 days ago,New Product (IT related- Machine learning and Artificial Intelligence).New Product + Strategy.Number of Contestants (Target)- 1500 -2000 (not less than 1500).
46,Customer Success Executive - London,Vincere,,London,Greater London,,1 day ago,"Vincere is transforming the recruitment market with CRM-based marketing systems for client business development, recruitment, candidate relationship management,…"
47,CTO - Co-founder,Moxie Pensions,,London,London,,19 days ago,You will be responsible for design and build of the MVP and to manage the larger project once funding is complete.Develop and own the engineering strategy.
48,Sponsorship Manager / Business Development Manager,Global Market Summits – Chancery Lane,,London,London,"£35,000 - £50,000 a year",1 day ago,"As a Business Development Manager, you will be responsible for securing new commercial partners, sponsorship revenue, the delivery aspect of booked clients,…"
49,2020 - Tech M&A - London Summer Intern,Qatalyst Partners,,London,London,,30+ days ago,Important note: only apply to one of the open positions for London (graduate or summer internship).The Qatalyst team combines an extensive network of…
50,"AI Engineer, Intern",Autodesk,4.1,London,London,,30+ days ago,"Background and experience in one of the following: Artificial Intelligence, Machine Learning, Deep Learning, Data Science."
51,Healthcheck React Engineer (Contract),Babylon Health,2.7,London,London,,Today,"Our engineers develop ground-breaking software products in the spaces of Artificial Intelligence, Health Epidemiology, and Chatbots."
52,Research Analyst,Give A Grad A Go,5.0,London,,"£28,000 a year",Just posted,"As their platform uses a blend of both human and artificial intelligence, they are looking for a Research Analyst to join their newly fledged team."
53,Conference Producer Immediate Start,Global Market Summits – Chancery Lane,,London,,,6 days ago,We are looking for a creative mind thinker and driven professional to develop research for new business trends and topics to expand our events portfolio.
54,Research Analyst,Give A Grad A Go,5.0,London,,"£28,000 a year",Just posted,"As their platform uses a blend of both human and artificial intelligence, they are looking for a Research Analyst to join their newly fledged team."
55,Sales Executive - Full Time,Kisaco Research,,London,,"£20,000 - £35,000 a year",30+ days ago,"You will work on events in various industries (such as Beauty, Personal Care, Pharmaceuticals, Health, Technology, Artificial Intelligence) and geographies …"
56,Sponsorship Manager / Business Development Manager,Global Market Summits – Chancery Lane,,London,,"£35,000 - £50,000 a year",1 day ago,"As a Business Development Manager, you will be responsible for securing new commercial partners, sponsorship revenue, the delivery aspect of booked clients,…"
57,Sponsorship Executive / Business Development Executive,Global Market Summits – Chancery Lane,,London,,"£25,000 - £35,000 a year",1 day ago,"As a Business Development Executive, you will be responsible for securing new commercial partnerships revenue, grow the clients across both new and established…"
58,Embedded Software Engineer,Cambridge Quantum Computing,,London,,,30+ days ago,As a professional Embedded Engineer you will execute design of electronic circuitry and its associated embedded software development lifecycle.
59,Conference Producer Immediate Start,Global Market Summits – Chancery Lane,,London,,,6 days ago,We are looking for a creative mind thinker and driven professional to develop research for new business trends and topics to expand our events portfolio.
60,EMEA Customer Success Manager,HighRadius,,London,London,,8 days ago,"Powered by the RivanaTM Artificial Intelligence Engine purpose-built for finance and the FreedaTM Digital Assistant, HighRadius enables teams to leverage…"
61,ROW Campus-Hiring,Credit Suisse Campus,,London,London,,30+ days ago,United Kingdom-London-London | Full-time (FT) | Technology [IT] | Job ID 145819.Credit Suisse is a leading global wealth manager with strong investment banking…
62,Graduate Programme Audit Digital Audit London Spring 2020,PwC,4.0,London,London,,6 days ago,Audit - Digital Audit graduate programme.Auditing Digital Auditing our client’s technology to give them assurance that security and controls are in place.
63,Internship (HR and Operations),Echobox,,London,London,,30+ days ago,"Start date: As soon as possible.We are looking for an enthusiastic, agile, diligent and highly organised Intern to support our team in pioneering technological…"
64,Personal Assistant to CEO/CTO,Echobox,,London,London,"£30,000 a year",18 days ago,"We are looking for an enthusiastic, agile, diligent and highly organised Executive Assistant to support our senior management in pioneering technological…"
65,HR Administrator,Eigen Technologies,,London,London,,3 days ago,"We're looking for an organized, detail orientated, customer focused person to join us as an HR Administrator.This role reports into the People Director."
66,Data Science Intern,Echobox,,London,London,,30+ days ago,You will work closely with our Data Scientists and gain valuable AI/ML skills while being in charge of your own cutting edge NLP project.
67,DIGITAL CONSULTANT - 8 MONTH FTC,Chubb,3.8,London,London,,30+ days ago,"Ability to learn and adapt emerging technology trends in the market such as artificial intelligence, blockchain, Internet of things, data analytics etc and…"
68,Human Resources Administrator,Arabesque,3.7,London,London,,5 days ago,"Located in London or Frankfurt.Arabesque was founded in 2013 as a management buy-out from Barclays Bank Plc, and its story is one of partnership between…"
69,Business Intelligence and Analytics Graduate,PA Consulting,3.9,London,London,,30+ days ago,"Become part of the team.Data analytics is a fast-growing field, responding to the increased volume and availability of data created by new digital technology."
70,Senior Launch Manager (Head Office Based),The Chat Shop,2.6,London,,"£35,000 - £40,000 a year",13 days ago,"Experience in Artificial Intelligence, Machine Learning, and Natural Language Processing is a bonus.Remuneration: £35,000 - £40,000 (depending on experience)."
71,Sales Executive - Full Time,Kisaco Research,,London,,"£20,000 - £35,000 a year",30+ days ago,"You will work on events in various industries (such as Beauty, Personal Care, Pharmaceuticals, Health, Technology, Artificial Intelligence) and geographies …"
72,Research Analyst,Give A Grad A Go,5.0,London,,"£28,000 a year",Just posted,"As their platform uses a blend of both human and artificial intelligence, they are looking for a Research Analyst to join their newly fledged team."
