,title,company,rating,search_city,location,salary,age,summary
559,Technology Leader – Offline Methods Design & Delivery,Procter & Gamble,4.2,Oxford,Reading,,30+ days ago,Experience and mastery in developing network and data management systems to connect custom equipment to central systems that will enable QA data analytics.
560,"Placement- Consulting Support (July 2020, 12 month placement...",Oracle,3.8,Oxford,Reading,,30+ days ago,"Placement- Consulting Support (July 2020, 12 month placement)-19001AA2.Placement- Consulting Support (July 2020, 12 month placement)."
561,Tech lead - full-stack web development - AI startup,Archangel Group,,Oxford,Harwell,"£50,000 - £70,000 a year",30+ days ago,"Commerical experience with cloud deployment, network diagnostics and data analytics.We are looking for an exceptional, proactive, detail-oriented full-stack…"
562,Senior Software Engineer,PrecisionLife Ltd,,Oxford,Oxford,,10 days ago,"Develop and test novel software applications based on PrecisionLife’s data analytics, search and mining platforms.25 days annual leave (pro rata)."
563,"Placement- Creative Campaign Support (July 2020, 12 month pl...",Oracle,3.8,Oxford,Reading,,30+ days ago,"Ability to interpret and understand data and present it in creative and compelling ways.Placement- Creative Campaign Support (July 2020, 12 month placement)…"
564,Cloud Solution Architect (ISV),Microsoft,4.2,Oxford,Reading,,30+ days ago,"Knowledge and experience of data, analytics, DevOps, infrastructure, functional programming, machine learning or artificial intelligence."
565,Service Engagement Manager,Livingstone Technologies,,Oxford,Reading,"£40,000 - £50,000 a year",11 days ago,Experience of using data analytics to drive continuous customer improvement initiatives.Location: Reading and ability to travel.
566,Placement- Commercial Industries - Technology Sales Intern (...,Oracle,3.8,Oxford,Reading,,30+ days ago,"Working with data to understand business opportunities for emerging technology such as Machine learning, Artificial Intelligence, Internet of Things, Blockchain…"
567,Market Access Consultant,"Value, Informatics & Evidence",,Oxford,Marlow,,8 days ago,"OPEN VIE believes that a compelling value strategy, supported by a robust and appropriate evidence base, should be at the heart of all activities to optimise…"
568,"Insights and Analytics Lead in Sales, Marketing and Commerci...",Jenrick Group,,Oxford,Reading,"£80,000 a year",12 days ago,"5+ Years’ experience of data modelling, data management and advanced analytics.Interpret business questions into formal data questions that can be answered…"
569,Data Analyst,Allen Associates,4.9,Oxford,,"£40,000 - £45,000 a year",4 days ago,"Collating and analysing talent management data.Collaborating with the HR Director and wider HR team, you will deliver high-quality data analytics, manipulate…"
570,Account Manager - Data & Analytics - EMEA,Selby Jennings,,Oxford,,,3 days ago,Working knowledge in a subscription based data / analytics enviorment.Creation and implementation of subject-specific presentations focusing on data solutions.
571,"Test Analyst (Big Data, Hadoop)",Outsource UK,3.0,Oxford,,,12 days ago,"Responsible for data ingestion from all sources for the retail and corporate Bank into the Big Data Analytics cluster.Previously used ALM, UAT and Big Data."
572,"BI Developer ( SQL Server, SSIS, ETL, Power BI )",Venturi,5.0,Oxford,Reading,£350 - £400 a day,30+ days ago,"Performing data analysis and data validation to ensure accurate reporting results.Consuming new data sources, modelling of business data, conforming to the…"
573,Senior Business Analyst/Scrum Master,Lawrence Harvey,,Oxford,Reading,£400 - £500 a day,5 days ago,Experience with data analytics & projects environment.Data analytics exposure and experience as an advantage.Will be expected to stand in as a SCRUM master.
574,"Senior Consultant, Risk Advisory, Technology and Digital Ris...",Deloitte,4.0,Oxford,Reading,,30+ days ago,"A technology related background and or experience of data analytics is desired.With this, comes an increased level of risk as organisations become more…"
575,Investment Risk Manager- 12 month Fixed Term Contract,Invesco,4.0,Oxford,Henley on Thames RG9,,30+ days ago,"Conduct regular due diligence on risk data, analytics and systems sourced internally or externally.Manage the Investment Risk team in Henley during the 12…"
576,Sales & Marketing Analytics Lead,Jenrick Group,,Oxford,Reading,"£70,000 - £80,000 a year",19 days ago,"Interpret business questions into formal data questions that can be answered using data analytics.5+ Years’ experience of data modelling, data management and…"
577,Account Manager,Cloister Resourcing,,Oxford,Reading,,2 days ago,Experience of using data analytics to drive continuous customer improvement initiatives.This is an exciting opportunity for an experienced Account Manager to…
578,Azure DevOps,Linux Recruit,,Oxford,Reading,£575 - £625 a day,30+ days ago,We need you to be the integral member of the Platform Engineering team with primary responsibility for the delivery of Data Analytics Platform and CI/CD…
579,"Placement – Pre-Sales Support (July 2020, 12 month placement...",Oracle,3.8,Oxford,Reading,,30+ days ago,"Placement – Pre-Sales Support (July 2020, 12 month placement)-19001AAF.Placement – Pre-Sales Support (July 2020, 12 month placement)."
580,Head of Internal Audit,Aldermore,2.8,Oxford,Reading,,30+ days ago,Must have in depth knowledge of audit methodologies including data analytics capability.Divisional Head of Internal Audit.Big 4 Audit experience – desirable.
581,Placement- Partner Sales Support,Oracle,3.8,Oxford,Reading,,30+ days ago,"Placement- Partner Sales Support (July 2020, 12 month placement).Not all of the leaders of the previous generation have or will make the required shift."
